method,dataset,dim,peak_memory_mb,vec_size,ef_search,qps,n_cmp,recall@1,recall@10,recall@100,recall@1000
original,sift,128,1104,512,10,93453.6,601,0.8446,0.777584,0.50634,0.184339
original,sift,128,1171,512,20,61275.4,914,0.9319,0.891138,0.671468,0.2794
original,sift,128,1190,512,30,60040,1230,0.9598,0.936322,0.767708,0.356188
original,sift,128,1197,512,40,40507.9,1551,0.9725,0.958747,0.829451,0.421219
original,sift,128,1201,512,50,35184.2,1875,0.9801,0.971668,0.871147,0.476833
original,sift,128,1201,512,60,41725.6,2201,0.9842,0.979849,0.900387,0.525001
original,sift,128,1203,512,70,21518,2529,0.9873,0.985289,0.921365,0.567053
original,sift,128,1203,512,80,23510.8,2858,0.9894,0.988829,0.937228,0.604123
original,sift,128,1203,512,90,29424.8,3186,0.9905,0.991069,0.948903,0.636862
original,sift,128,1203,512,100,25798,3514,0.9909,0.99274,0.957852,0.665962
original,sift,128,1203,512,110,25634.6,3843,0.9915,0.99386,0.964654,0.692192
original,sift,128,1203,512,120,24264.7,4172,0.9922,0.99474,0.970223,0.715721
original,sift,128,1203,512,130,22819.8,4501,0.9925,0.99547,0.974703,0.737013
original,sift,128,1203,512,140,21440.3,4831,0.9928,0.996071,0.97832,0.756281
original,sift,128,1203,512,150,14192,5160,0.9931,0.99645,0.981179,0.773708
original,sift,128,1203,512,160,11141.8,5489,0.9932,0.996831,0.983585,0.789575
original,sift,128,1203,512,170,18321.9,5818,0.9934,0.99726,0.985622,0.804045
original,sift,128,1205,512,180,13028.8,6148,0.9936,0.99753,0.987287,0.817379
original,sift,128,1205,512,190,15555.9,6477,0.9937,0.99781,0.988763,0.829558
original,sift,128,1205,512,200,15340.6,6807,0.9939,0.998061,0.990049,0.840765
original,word2vec,300,1592,1200,10,32233.7,499,0.292,0.2817,0.1968,0.073847
original,word2vec,300,1597,1200,20,54210.1,724,0.389,0.391,0.29478,0.115572
original,word2vec,300,1600,1200,30,40131.8,924,0.453,0.4539,0.3587,0.148
original,word2vec,300,1601,1200,40,33008.6,1105,0.493,0.4951,0.40156,0.174519
original,word2vec,300,1603,1200,50,27884.9,1284,0.526,0.5318,0.44002,0.198738
original,word2vec,300,1607,1200,60,19394.8,1460,0.558,0.5566,0.4695,0.22046
original,word2vec,300,1608,1200,70,21236.3,1626,0.574,0.5745,0.49245,0.239664
original,word2vec,300,1609,1200,80,14582.9,1793,0.588,0.5897,0.51224,0.257998
original,word2vec,300,1609,1200,90,19839.9,1957,0.601,0.6059,0.53155,0.275429
original,word2vec,300,1609,1200,100,14750.5,2114,0.615,0.6179,0.54616,0.29062
original,word2vec,300,1609,1200,110,13986.3,2275,0.628,0.6314,0.56123,0.305998
original,word2vec,300,1609,1200,120,13068.7,2431,0.639,0.6406,0.57262,0.319678
original,word2vec,300,1609,1200,130,11881.2,2589,0.648,0.6521,0.58455,0.332999
original,word2vec,300,1610,1200,140,14490,2752,0.658,0.6631,0.59728,0.347153
original,word2vec,300,1610,1200,150,19140.8,2908,0.665,0.6694,0.60621,0.358668
original,word2vec,300,1610,1200,160,18176.2,3069,0.676,0.679,0.61802,0.371566
original,word2vec,300,1610,1200,170,17430.9,3221,0.684,0.6851,0.62587,0.382043
original,word2vec,300,1610,1200,180,16762.6,3373,0.689,0.6907,0.633,0.392074
original,word2vec,300,1610,1200,190,16050.8,3528,0.695,0.6964,0.64025,0.402232
original,word2vec,300,1610,1200,200,15514.6,3676,0.703,0.703199,0.64705,0.411873
original,msong,420,2040,1680,10,29054.5,500,0.973,0.906602,0.59043,0.188158
original,msong,420,2041,1680,20,35851.7,777,0.993,0.954401,0.74901,0.289318
original,msong,420,2044,1680,30,25783.7,1060,0.996,0.974001,0.83521,0.371233
original,msong,420,2048,1680,40,20661.5,1349,0.997,0.983401,0.885519,0.439792
original,msong,420,2052,1680,50,17579.9,1639,0.997,0.9889,0.916528,0.497501
original,msong,420,2055,1680,60,13326.5,1927,0.997,0.992,0.937058,0.546185
original,msong,420,2055,1680,70,11794.7,2217,0.997,0.9937,0.950878,0.589157
original,msong,420,2055,1680,80,11278.8,2508,0.997,0.9948,0.961217,0.626632
original,msong,420,2056,1680,90,8117.93,2800,0.997,0.9953,0.967897,0.659142
original,msong,420,2056,1680,100,10665.2,3090,0.997,0.9963,0.973247,0.688099
original,msong,420,2056,1680,110,11070,3379,0.997,0.9966,0.977057,0.71397
original,msong,420,2056,1680,120,11795.3,3670,0.997,0.997,0.980528,0.73715
original,msong,420,2056,1680,130,11012.6,3959,0.997,0.9972,0.982958,0.757624
original,msong,420,2056,1680,140,10281.2,4249,0.997,0.9974,0.985058,0.776038
original,msong,420,2056,1680,150,12752.7,4536,0.997,0.9976,0.986718,0.792334
original,msong,420,2056,1680,160,13939.1,4824,0.997,0.9978,0.988158,0.807239
original,msong,420,2056,1680,170,10601.8,5112,0.997,0.998,0.989398,0.820657
original,msong,420,2056,1680,180,10412.1,5398,0.997,0.9981,0.990468,0.833368
original,msong,420,2056,1680,190,10044.1,5688,0.997,0.9981,0.991328,0.844681
original,msong,420,2057,1680,200,11354.1,5976,0.997,0.9981,0.992008,0.855115
original,gist,960,4115,3840,10,4752.06,703,0.558,0.4944,0.31895,0.137171
original,gist,960,4123,3840,20,9812.4,1070,0.694,0.6312,0.44788,0.209755
original,gist,960,4127,3840,30,7542.88,1417,0.773,0.7115,0.5358,0.267492
original,gist,960,4129,3840,40,6070.78,1747,0.824,0.763801,0.59939,0.316008
original,gist,960,4129,3840,50,3890.09,2081,0.852,0.796201,0.64898,0.358536
original,gist,960,4129,3840,60,4217.73,2419,0.877,0.825701,0.68907,0.396883
original,gist,960,4129,3840,70,4853.45,2755,0.89,0.844801,0.72112,0.430952
original,gist,960,4129,3840,80,4895.03,3098,0.903,0.863401,0.74891,0.462461
original,gist,960,4130,3840,90,4955.11,3432,0.914,0.877801,0.77253,0.490725
original,gist,960,4130,3840,100,4682.33,3768,0.917,0.889901,0.79138,0.516563
original,gist,960,4130,3840,110,3048.07,4107,0.925,0.899901,0.80803,0.539929
original,gist,960,4130,3840,120,2941.3,4441,0.933,0.910501,0.8228,0.561365
original,gist,960,4131,3840,130,2516.92,4773,0.937,0.918201,0.836039,0.581241
original,gist,960,4131,3840,140,3443.23,5107,0.943,0.925801,0.847529,0.599656
original,gist,960,4131,3840,150,3859.78,5436,0.947,0.930901,0.857059,0.616416
original,gist,960,4131,3840,160,3791.92,5767,0.949,0.935702,0.86607,0.632164
original,gist,960,4132,3840,170,2809.5,6099,0.955,0.941002,0.874019,0.646947
original,gist,960,4132,3840,180,3077.97,6429,0.958,0.944802,0.88141,0.660791
original,gist,960,4132,3840,190,2729.21,6757,0.96,0.948302,0.88793,0.673791
original,gist,960,4132,3840,200,2623.39,7093,0.962,0.950901,0.894279,0.686177
original,youtube,1024,4575,4096,10,27601.8,661,0.524,0.510399,0.358907,0.130534
original,youtube,1024,4623,4096,20,19180.6,955,0.6372,0.631195,0.492406,0.192615
original,youtube,1024,4642,4096,30,16534,1221,0.6858,0.685174,0.570093,0.240105
original,youtube,1024,4648,4096,40,16067.3,1484,0.7208,0.722423,0.625856,0.281215
original,youtube,1024,4652,4096,50,15131.9,1740,0.7418,0.745183,0.663829,0.316512
original,youtube,1024,4653,4096,60,16089.5,1996,0.759,0.763712,0.69353,0.348003
original,youtube,1024,4654,4096,70,16182.5,2252,0.773,0.778701,0.717109,0.376493
original,youtube,1024,4655,4096,80,14432.5,2506,0.7831,0.789432,0.735416,0.402157
original,youtube,1024,4655,4096,90,9740.6,2762,0.7909,0.798641,0.750614,0.425751
original,youtube,1024,4656,4096,100,9153.44,3016,0.7987,0.80718,0.763669,0.447504
original,youtube,1024,4656,4096,110,8307.91,3271,0.8049,0.814279,0.774908,0.467735
original,youtube,1024,4656,4096,120,6970.67,3525,0.8103,0.820049,0.784229,0.486471
original,youtube,1024,4657,4096,130,4676.79,3780,0.8153,0.825249,0.792495,0.504078
original,youtube,1024,4657,4096,140,4965.03,4036,0.8206,0.830289,0.799787,0.520504
original,youtube,1024,4657,4096,150,4460.36,4292,0.8251,0.834349,0.806136,0.536099
original,youtube,1024,4658,4096,160,6158.93,4547,0.8283,0.837699,0.811487,0.550369
original,youtube,1024,4658,4096,170,5101.07,4801,0.8312,0.840939,0.816585,0.563859
original,youtube,1024,4658,4096,180,4239.58,5056,0.8347,0.84454,0.821314,0.576606
original,youtube,1024,4658,4096,190,3748.65,5311,0.8373,0.84741,0.825515,0.588604
original,youtube,1024,4658,4096,200,3416.82,5567,0.8399,0.8501,0.829463,0.600073
original,openai,1536,6483,6144,10,7757.91,709,0.8579,0.832403,0.551777,0.189221
original,openai,1536,6553,6144,20,4225.86,1086,0.9238,0.915731,0.716832,0.284397
original,openai,1536,6564,6144,30,7679.82,1463,0.9464,0.945946,0.805722,0.35905
original,openai,1536,6565,6144,40,7204.39,1845,0.9574,0.961338,0.858913,0.420428
original,openai,1536,6566,6144,50,6421.3,2229,0.9669,0.971119,0.893324,0.472285
original,openai,1536,6566,6144,60,5306.45,2613,0.9717,0.976369,0.915782,0.516517
original,openai,1536,6566,6144,70,5228.24,2999,0.9762,0.9801,0.931452,0.554856
original,openai,1536,6566,6144,80,5012.17,3388,0.9795,0.98326,0.943493,0.588782
original,openai,1536,6567,6144,90,4710.03,3776,0.9811,0.98532,0.952336,0.618527
original,openai,1536,6567,6144,100,3847.55,4165,0.9832,0.98715,0.959281,0.64509
original,openai,1536,6567,6144,110,3433.7,4556,0.9845,0.98844,0.964828,0.66894
original,openai,1536,6567,6144,120,3513.25,4946,0.9859,0.98952,0.96915,0.690364
original,openai,1536,6568,6144,130,3822.03,5336,0.9873,0.99045,0.972648,0.709646
original,openai,1536,6568,6144,140,3581.33,5727,0.9885,0.99134,0.975596,0.727213
original,openai,1536,6568,6144,150,3202.64,6119,0.9898,0.99195,0.978059,0.743223
original,openai,1536,6569,6144,160,2958.85,6510,0.9905,0.99263,0.980295,0.7579
original,openai,1536,6569,6144,170,2925.98,6902,0.9911,0.99316,0.98212,0.771313
original,openai,1536,6569,6144,180,2727.87,7295,0.9922,0.99363,0.983731,0.783697
original,openai,1536,6569,6144,190,2235.26,7687,0.9927,0.994,0.985047,0.795039
original,openai,1536,6569,6144,200,1486.32,8080,0.9929,0.99421,0.986203,0.80547
original,openai,3072,12346,12288,10,6939.44,707,0.8514,0.832276,0.549446,0.187931
original,openai,3072,12414,12288,20,1374.41,1085,0.9178,0.915864,0.714526,0.282274
original,openai,3072,12423,12288,30,2870.3,1462,0.9457,0.947766,0.803936,0.356191
original,openai,3072,12425,12288,40,2611.55,1840,0.9579,0.961777,0.857592,0.416923
